name,name_normalized,brand,barcode,kcal,protein,carbs,fat,fibres,sodium,source,sold_in_fr,popularity
Chergui Lait,chergui lait,Chergui,6111126005580,45.5,3.1,4.9,1.5,0,40.0,off,False,3507
Pindakaas,pindakaas,Dulcetto,6111262821150,583.0,24.3,24.8,48.2,0,500.0,off,False,3507
Vip crema gold,vip crema gold,VIP,6111250473453,0.5,0.5,0.5,0.5,0.5,500.0,off,False,3507
Bol Bol Ketchup,bol bol ketchup,Bol&Bol,6111250472241,122.0,1.0,28.0,0.1,0,1400.0,off,False,3505
Thon Joly,thon joly,Joly,6111162001102,175.0,33.0,0.96,4.4,0,467.36,off,False,3504
cheeslé blanc nature,cheesle blanc nature,afs,6111259093102,233.0,5.4,4.0,22.0,0.02,300.0,off,False,3504
Mayfine,mayfine,,6111180003102,356.0,0.45,85.0,0.6,0,28.4,off,False,3501
Gonga,gonga,gonga,5410093179616,532.0,0.5,0.5,59.0,0,200.0,off,False,3500
fromage blanc nature,fromage blanc nature,le Berger,6111246721995,225.0,6.0,4.0,20.0,0,0,off,False,3500
Afia,afia,AFIA,6111245470023,900.0,0,0,100.0,0,0,off,False,3499
Chocolat Noir 92% cacao,chocolat noir 92% cacao,Dark Excellente,8410510012196,580.0,15.0,14.0,49.0,0,0,off,False,3498
Douceur fromage frais,douceur fromage frais,Chergui,6111126005085,256.44,7.01,3.1,24.0,0,244.0,off,False,3498
حليب,حليب,رفيع,6111242882263,45.0,3.2,4.8,1.5,0,0,off,False,3494
la hollandaise 16p cheddar,la hollandaise 16p cheddar,La Hollandaise,6111203004451,270.0,10.0,7.0,23.0,0,0,off,False,3493
Indomie,indomie,null,5285000396437,442.0,10.0,67.0,0,4.0,0,off,False,3492
Capri choco,capri choco,Excelo,6111249960964,504.0,4.4,71.0,22.0,0,120.0,off,False,3491
Confiture de fraise,confiture de fraise,Délicia,6111162000822,250.0,0.5,61.33,0.3,0,0,off,False,3491
Star moutarde 100 g,star moutarde 100 g,Star moutarde de Dijon,6111184004716,158.7,7.44,4.95,11.19,0,2616.0,off,False,3490
